	Avg	Stdev																																								
"KERNEL=0, MODE=0"	3	0.6%	3.19507	3.17896	3.14795	3.1731	3.15698	3.17676	3.18091	3.15918	3.18506	3.16772	3.18408	3.15796	3.16602	3.17114	3.15698	3.20679	3.17798	3.16406	3.17114	3.15918	3.15405	3.1499	3.15112	3.16382	3.14893	3.15405	3.14893	3.15601	3.15601	3.16504	3.15112	3.1731	3.24878	3.17603	3.15991	3.1499	3.16211	3.19214	3.15088	3.15112
"KERNEL=1, MODE=0"	346.8	63.4%	129.943	129.601	129.93	130.26	130.209	129.66	129.476	129.347	129.639	129.402	129.121	129.431	129.559	129.414	129.468	129.837	129.602	129.627	129.481	129.836	569.582	562.832	563.004	561.11	564.896	564.169	563.546	563.068	563.65	564.111	567.326	564.785	559.56	564.892	566.524	563.45	561.809	564.865	561.014	564.393
"KERNEL=1, MODE=1"	346.9	63.4%	130.442	129.228	129.669	129.666	129.398	129.439	129.902	129.603	129.316	129.345	129.483	129.505	129.42	129.654	130.098	130.235	130.218	129.766	129.328	129.501	562.7	558.842	566.779	566.529	566.263	565.113	566.273	567.272	565.789	563.084	572.066	560.384	561.769	565.589	560.257	563.409	562.631	562.818	561.821	563.655
"KERNEL=1, MODE=2"	395.4	26.3%	294.179	293.192	292.54	293.622	292.288	294.158	294.149	294.159	290.462	295.589	290.938	292.813	294.178	292.1	294.09	292.001	291.168	291.522	294.165	289.911	495.626	495.618	495.594	500.823	495.662	500.889	495.589	500.046	495.679	500.059	499.821	500.107	495.601	495.598	495.552	499.905	500.831	495.583	500.128	499.963
"KERNEL=2, MODE=0"	384.5	53.5%	154.056	154.615	153.967	154.016	153.9	153.705	153.612	153.724	153.698	153.833	153.885	153.927	183.911	234.346	232.377	233.189	233.245	233.246	232.349	232.337	587.539	584.008	587.581	587.538	587.571	584.49	587.473	584.231	587.419	584.385	587.379	587.374	587.4	585.706	584.271	584.217	587.63	584.392	584.174	584.265
"KERNEL=2, MODE=1"	392.4	53.6%	233.029	235.178	232.487	233.03	233.422	232.251	300.335	610.135	139.206	139.19	139.032	139.213	138.687	139.093	138.568	138.838	138.922	139.09	138.659	138.983	584.222	587.507	584.359	584.309	584.362	587.653	584.345	587.707	587.884	585.335	584.373	587.631	587.394	587.42	584.196	587.554	587.446	584.323	587.511	584.722
"KERNEL=2, MODE=2"	412.3	26.6%	303.856	302.965	304.477	304.105	304.114	303.893	303.18	304.136	304.084	303.756	304.11	303.812	303.665	303.727	303.399	304.009	304.135	303.973	304.087	304.09	520.326	520.929	520.385	520.864	521.39	520.962	521.757	520.93	520.965	520.319	520.91	520.316	520.415	521.014	520.933	520.407	520.403	520.404	520.323	520.926
"KERNEL=3, MODE=0"	343.3	63.2%	128.896	128.987	128.998	129.175	128.932	129.1	129.302	129.282	129.009	129.319	129.358	130.119	128.93	129.229	129.094	129.017	129.007	129.446	129.002	129.124	555.465	555.062	555.71	559.997	559.243	558.536	558.614	558.497	554.984	558.886	558.762	555.387	558.707	556.342	558.847	555.109	558.572	555.001	558.591	558.45
"KERNEL=3, MODE=1"	343.6	63.0%	142.386	129.156	129.385	129.235	129.137	128.764	129.15	129.698	129.066	128.945	129.189	128.93	129.194	129.068	129.148	128.888	129.404	129.073	128.867	129.357	560.079	558.562	558.53	555.099	555.084	558.556	558.636	554.918	555.163	555.316	556.801	558.575	558.618	555.27	558.49	558.852	558.777	554.841	558.745	558.634
"KERNEL=3, MODE=2"	394.0	25.7%	294.136	294.283	294.72	294.128	294.095	294.297	294.116	294.119	294.102	294.022	292.755	294.776	294.158	294.256	294.159	294.127	294.181	294.313	294	294.209	494.055	493.609	493.003	493.635	494.187	494.118	494.308	494.237	495.088	493.023	493.597	493.004	492.987	494.285	494.256	493.603	494.063	492.993	494.128	494.315
